date,RV,RQ
2016-07-21,8.055408659099543e-05,2.1733578317903607e-08
2016-07-22,5.985070465059034e-05,1.1998210045160347e-08
2016-07-25,8.262233202532582e-05,1.7287200593901726e-08
2016-07-26,9.933187161615034e-05,1.4062843909328579e-08
2016-07-27,0.00013702162961232167,3.792104038548935e-08
2016-07-28,8.662302859126668e-05,1.5223075123707568e-08
2016-07-29,6.040838905548332e-05,9.061614784521245e-09
2016-08-01,4.279637005399286e-05,2.8925421060427602e-09
2016-08-02,8.19186265764364e-05,1.235045203873534e-08
2016-08-03,4.2028723596930805e-05,4.26203517444127e-09
2016-08-04,4.8001231091893095e-05,5.880590650423325e-09
2016-08-05,2.8974586917085903e-05,1.3831262165735667e-09
2016-08-08,3.8953337664630114e-05,1.8180325539065978e-09
2016-08-09,2.4010893260396497e-05,7.650181764835744e-10
2016-08-10,3.5802175455406376e-05,1.9227208745495704e-09
2016-08-11,3.980988100108792e-05,2.223913417926358e-09
2016-08-12,2.447727429199453e-05,2.016701768145993e-09
2016-08-15,2.7395838583582235e-05,3.8048552837702955e-09
2016-08-16,5.090290462043909e-05,5.971091531818036e-09
2016-08-17,6.342985698940719e-05,7.593228996715023e-09
2016-08-18,2.4876037691232534e-05,7.495739313283845e-10
2016-08-19,3.538130141840272e-05,2.192469306195232e-09
2016-08-22,6.641591192206101e-05,5.860525150176881e-09
2016-08-23,1.9835792056888978e-05,6.452967605374978e-10
2016-08-24,3.8376857785432995e-05,1.5142791109327012e-09
2016-08-25,4.809833115703127e-05,3.1904594861052376e-09
2016-08-26,7.882711529643731e-05,9.547220305066453e-09
2016-08-29,5.816102498069319e-05,6.896641079153279e-09
2016-08-30,4.632621898997651e-05,3.0981895963482134e-09
2016-08-31,4.095605993265084e-05,2.3684058146235933e-09
2016-09-01,3.5826862941365885e-05,2.026322824497919e-09
2016-09-02,5.545392850712296e-05,5.636525257119466e-09
2016-09-06,2.7053695912226018e-05,1.7274266768225976e-09
2016-09-07,9.247816108498231e-05,1.0329849654781972e-08
2016-09-08,7.846263124420939e-05,6.2920851351525365e-09
2016-09-09,8.618777891583077e-05,7.88518842872528e-09
2016-09-12,0.00021489922220146903,1.1325101020539323e-07
2016-09-13,0.00014464386337575868,2.863006170579741e-08
2016-09-14,0.0004859093988158151,4.3450812509083763e-07
2016-09-15,0.0001398059579629621,1.9739333052182255e-08
2016-09-16,0.00012601464288113513,4.0878066634039596e-08
2016-09-19,9.809486626151586e-05,1.4841731952518811e-08
2016-09-20,9.643360905214962e-05,2.3249975044603814e-08
2016-09-21,6.84965300568166e-05,6.829271012347248e-09
2016-09-22,5.9824171911080296e-05,4.779856392040038e-09
2016-09-23,0.0002173290260800463,1.7867374545527005e-07
2016-09-26,9.602465518310542e-05,3.4943743387637514e-08
2016-09-27,4.4164125756575115e-05,2.9267107945545376e-09
2016-09-28,5.297022130020134e-05,3.2334854167393095e-09
2016-09-29,0.00010163778039169459,1.2504060244465226e-08
2016-09-30,6.243817107006737e-05,1.1277825504252548e-08
2016-10-03,4.212150875377361e-05,3.924630150203114e-09
2016-10-04,0.00010271931675635219,2.296496484179135e-08
2016-10-05,5.536497172514349e-05,1.4740439333834173e-08
2016-10-06,5.438088158866332e-05,4.840825301950163e-09
