date,M1W,d_log_dvol,EA
2016-11-16,-0.0580099926736537,-0.6281434529449221,0
2016-11-17,-0.033567447995021205,0.025351161478639028,0
2016-11-18,0.018682155312311988,0.16302275643585773,0
2016-11-21,0.028244171529117956,0.06975929776021061,0
2016-11-22,0.08171076477423345,0.1687282308248399,0
2016-11-23,0.05495888428075757,-0.4365481751573128,0
2016-11-28,0.03149251796221186,0.8359105749415612,0
2016-11-29,0.008683918694169623,-0.30926983266244434,0
2016-11-30,-0.022822567343645073,0.3057936744224712,0
2016-12-01,-0.04532025544298879,0.08673960706181916,0
2016-12-02,-0.04804704122526715,-0.2879901183195983,0
2016-12-05,-0.052953314608017,0.2101393875931734,0
2016-12-06,-0.00969736337378757,-0.11178451014611568,0
2016-12-07,0.0029860933208252227,-0.07395020804139207,0
2016-12-08,0.026062933986005454,-0.10014335776725503,0
2016-12-09,0.031244267721939778,-0.3363439728453592,0
2016-12-12,0.03752618922011086,0.1989927340097779,0
2016-12-13,0.0005634440799182627,0.6718197913542134,0
2016-12-14,0.012540693653912527,0.006609130568023147,0
2016-12-15,-0.0021049630308436207,-0.3818579782849909,0
2016-12-16,-0.008639928075069303,0.14539538587774814,0
2016-12-19,-0.014255819839613437,-0.31964000320169106,0
2016-12-20,0.008194511051933251,-0.18450756675590085,0
2016-12-21,-0.004050396018393965,-0.24558512088436757,0
2016-12-22,0.0023385745359747467,0.14428687304858556,0
2016-12-23,0.007413942242066707,-0.1862149042074499,0
2016-12-27,0.0037276859751642633,0.3301768998064212,0
2016-12-28,0.0069204428445739374,0.21623305244883184,0
2016-12-29,0.0012958405338001633,-0.03837536659985119,0
2016-12-30,-0.007032194625959498,0.13794286605177675,0
2017-01-03,-0.021448331205869753,-0.09893852295080308,0
2017-01-04,-0.009245872232006125,-0.40255754162171087,0
2017-01-05,-0.018606039888689807,0.998356889245148,0
2017-01-06,0.010627092574285957,0.05508188322053087,0
2017-01-09,0.03944938538530218,-0.5795933444093713,0
2017-01-10,0.06078147225985875,-0.37274436467123806,0
2017-01-11,0.05473746258222967,0.18274096484986302,0
2017-01-12,0.05375993988083705,0.5579749251977049,0
2017-01-13,0.041487542742116634,-0.26315917347852746,0
2017-01-17,0.026297239992067123,-0.10579801577083003,0
2017-01-18,0.015685619742986212,-0.4423406780077883,0
2017-01-19,0.014220022574457758,0.06462332118185543,0
2017-01-20,0.012437971292217131,0.2923604255285568,0
2017-01-23,-0.006548666502165457,-0.2167577850135558,0
2017-01-24,0.0007339449870746861,0.14691221513173858,0
2017-01-25,0.015686596167699296,0.29771949974790246,0
2017-01-26,0.03552685058925764,-0.08465410198532552,0
2017-01-27,0.03665014002359568,-0.21988373350761847,0
2017-01-30,0.03353193788487907,0.2392499791378313,0
2017-01-31,0.015289704481082467,-0.21330519846594242,0
2017-02-01,0.0009722898189394868,0.24466191470645882,0
2017-02-02,-0.0052732624592573,0.40854340403202727,1
2017-02-03,0.0009528347552718586,0.5919986477307155,0
2017-02-06,-0.03130724286276809,-1.0633743262032418,0
2017-02-07,-0.02784062597294179,-0.020699454338444667,0
2017-02-08,-0.013157119196554934,-0.256165818937113,0
2017-02-09,-0.015012388478603533,-0.17432569988794455,0
2017-02-10,-0.022537793025366515,-0.027164581894030704,0
2017-02-13,0.02125400636082686,0.6481286571399707,0
2017-02-14,0.03527917256941571,-0.5439088525157416,0
2017-02-15,0.029064902231193734,0.18490787040234125,0
2017-02-16,0.02766927385979656,-0.08231027209584596,0
2017-02-17,0.027525334536405488,0.06573214476734535,0
2017-02-21,0.021119376726221883,0.1440330226598121,0
2017-02-22,0.023391497707429654,-0.2595905421672384,0
2017-02-23,0.02269600965377183,0.29824194544711347,0
2017-02-24,0.01109155913577764,0.0706378134859662,0
2017-02-27,0.0011838523935030487,-0.34765913684862326,0
2017-02-28,0.004180302014691328,0.00221498221003813,0
2017-03-01,-0.01340092935835413,-0.03822316493289435,0
2017-03-02,-0.002949647478858619,-0.19945244664172534,0
2017-03-03,-0.0039034075004766855,-0.11861415754759363,0
2017-03-06,0.005427741938810016,0.28751097268107273,0
2017-03-07,-0.002359604681401173,-0.11479735172517636,0
2017-03-08,0.0011827322490494119,0.0005311603320947711,0
2017-03-09,-0.0029113469098587252,-0.1299341224374686,0
2017-03-10,0.004841713926344138,0.16606767745079054,0
2017-03-13,0.002820213385100079,-0.2368541794324841,0
2017-03-14,0.009288174468822241,0.1017745208713805,0
2017-03-15,0.007301881459588433,0.24098185963922703,0
2017-03-16,0.0025830705920468766,-0.35029629152996833,0
2017-03-17,0.0004688232622207522,0.47332511370574437,0
2017-03-20,0.0002346591586506186,-0.19908919784030132,0
2017-03-21,0.0029214160421342505,0.6418019633342631,0
2017-03-22,-0.010617063278713701,-0.5134860381211475,0
2017-03-23,-0.0056444176196768225,-0.47496832906204034,0
2017-03-24,-0.006819544359755625,0.2187226022979587,0
2017-03-27,-0.008009465668434412,0.2859169047098966,0
2017-03-28,-0.011973379337069545,0.028975112531689717,0
2017-03-29,0.015066198354644289,0.4546704390270655,0
2017-03-30,0.030657301070425635,-0.41697595901850804,0
2017-03-31,0.033413781327167325,0.3087562412201983,0
2017-04-03,0.04734748775492559,-0.10977840581320208,0
2017-04-04,0.051553062251003645,0.46419561709763,0
2017-04-05,0.05765154249163196,0.3980504001761922,0
2017-04-06,0.03924710452858138,-0.18012611157948655,0
2017-04-07,0.024570152932326117,-0.5337369209108402,0
2017-04-10,0.009206307305021255,-0.22890806661280294,0
2017-04-11,0.017124848603423004,-0.00821148815256123,0
2017-04-12,-0.004642431240473144,-0.21028393652033728,0
2017-04-13,-0.014621439038867479,0.2452823456431794,0
2017-04-17,-0.015257195219411379,-0.15886710673250803,0
2017-04-18,0.008014290446649142,0.053196805982835826,0
2017-04-19,-0.003534353137957691,-0.021407710667386226,0
2017-04-20,-0.003996452921280369,-0.0278363300228186,0
2017-04-21,0.006517434345307382,-0.13691903253418047,0
2017-04-24,0.015624529213623894,0.2725907822936122,0
2017-04-25,0.005968847167239666,0.07275508124393326,0
2017-04-26,0.00419565592850768,-0.26236346522042453,0
2017-04-27,0.011282057506767806,0.5248702540329795,1
2017-04-28,0.01860508565833685,0.5548573603312406,0
2017-05-01,0.029033642864574993,-0.26957783110955447,0
2017-05-02,0.04419298696138707,-0.3807008334618125,0
2017-05-03,0.04249534028039159,-0.0489078492349968,0
2017-05-04,0.034378047606991036,-0.48250077064377805,0
2017-05-05,0.019951968594659863,0.16914557689596066,0
2017-05-08,0.009843287393421551,0.2470852333065281,0
2017-05-09,0.0006324444186773803,-0.127012391625982,0
2017-05-10,0.006105924855011935,-0.4656286541950294,0
2017-05-11,0.008465659024548433,0.04040230467494865,0
2017-05-12,0.010694381334283687,0.6172336772449505,0
