date,value
2018-11-17,-0.2841691774416088
2018-11-18,-0.2764612236010739
2018-11-19,-0.26822542359592855
2018-11-20,-0.25945828195999093
2018-11-21,-0.2501560777132613
2018-11-22,-0.2403148627826515
2018-11-23,-0.22993046032632974
2018-11-24,-0.2189984629609718
2018-11-25,-0.20751423089116405
2018-11-26,-0.1962277230205173
2018-11-27,-0.18513414909106646
2018-11-28,-0.17422880073052432
2018-11-29,-0.16350704945393849
2018-11-30,-0.1529643446992537
2018-12-01,-0.14259621189594718
2018-12-02,-0.1331874662320072
2018-12-03,-0.12560149962079542
2018-12-04,-0.11983509240062393
2018-12-05,-0.11588579717337515
2018-12-06,-0.11375193776576893
2018-12-07,-0.11343260851795546
2018-12-08,-0.11492767389913189
2018-12-09,-0.11823776845002001
2018-12-10,-0.12188481974729447
2018-12-11,-0.12587037568484116
2018-12-12,-0.1301961278258339
2018-12-13,-0.13486391212067345
2018-12-14,-0.13987570968620772
2018-12-15,-0.14523364764656435
2018-12-16,-0.15094000003595165
2018-12-17,-0.15690018056912214
2018-12-18,-0.1631167188861202
2018-12-19,-0.1695922534312308
2018-12-20,-0.1763295325727967
2018-12-21,-0.18333141576969053
2018-12-22,-0.19060087478493576
2018-12-23,-0.19814099494699255
2018-12-24,-0.20599435668320148
2018-12-25,-0.21416429314399682
2018-12-26,-0.22265427184153136
2018-12-27,-0.23146789612136998
2018-12-28,-0.24060890669183396
2018-12-29,-0.25008118321164435
2018-12-30,-0.2598887459365409
2018-12-31,-0.2710836662627945
2019-01-01,-0.28367069557647395
2019-01-02,-0.29659513436657725
2019-01-03,-0.30986246806726747
2019-01-04,-0.32347832764532936
2019-01-05,-0.3374484919900831
2019-01-06,-0.35177889036607984
2019-01-07,-0.36622710253423657
2019-01-08,-0.38079926065378394
2019-01-09,-0.39550154948951366
2019-01-10,-0.4103402090367373
2019-01-11,-0.4253215371696871
2019-01-12,-0.44045189231448006
2019-01-13,-0.4557376961477834
2019-01-14,-0.47106817089757347
2019-01-15,-0.48644982317595914
2019-01-16,-0.5018891813159897
2019-01-17,-0.517392798142432
2019-01-18,-0.5329672537529425
2019-01-19,-0.5486191583108149
2019-01-20,-0.5643551548504878
2019-01-21,-0.5791014226332398
2019-01-22,-0.5928642203200769
2019-01-23,-0.6056493891642897
2019-01-24,-0.6174623554906185
2019-01-25,-0.6283081329983126
2019-01-26,-0.6381913248890606
2019-01-27,-0.6471161258206984
2019-01-28,-0.6560769447755359
2019-01-29,-0.6650775849347573
2019-01-30,-0.6741218663805981
2019-01-31,-0.6832136277176761
2019-02-01,-0.6923567277021858
2019-02-02,-0.7002903436436657
2019-02-03,-0.7070178427543117
2019-02-04,-0.7127321287110695
2019-02-05,-0.717435626790573
2019-02-06,-0.7211303332674361
2019-02-07,-0.7238178162615172
2019-02-08,-0.7254992164034676
2019-02-09,-0.7261752473188402
2019-02-10,-0.72584619593097
2019-02-11,-0.7249299029053928
2019-02-12,-0.7234259793459143
2019-02-13,-0.7213337869521943
2019-02-14,-0.7186524377488384
2019-02-15,-0.7153807937085199
2019-02-16,-0.7115174662689748
2019-02-17,-0.7070608157436633
2019-02-18,-0.7008790712805735
2019-02-19,-0.6929696092027461
2019-02-20,-0.6833290725494496
2019-02-21,-0.6719533696514077
2019-02-22,-0.6588376723941991
2019-02-23,-0.6439764141690932
2019-02-24,-0.6273632875104503
2019-02-25,-0.6096528496631866
2019-02-26,-0.5908375839031801
2019-02-27,-0.5709095045914977
2019-02-28,-0.5498601537851028
2019-03-01,-0.5276805976471067
2019-03-02,-0.506993640828832
2019-03-03,-0.4877905033018761
2019-03-04,-0.46973422092743844
2019-03-05,-0.45281713019688963
2019-03-06,-0.43703205110118293
2019-03-07,-0.4223722840834904
2019-03-08,-0.4088316071957545
2019-03-09,-0.3964042734579476
2019-03-10,-0.38508500841891946
2019-03-11,-0.3752236282808509
2019-03-12,-0.36681594764332437
2019-03-13,-0.35985839808999687
2019-03-14,-0.35434802667408033
2019-03-15,-0.35028249466504197
2019-03-16,-0.3476600765559924
2019-03-17,-0.34647965933134
2019-03-18,-0.34656361882580766
2019-03-19,-0.3479119906737688
2019-03-20,-0.35052534715577827
2019-03-21,-0.3544047974414609
2019-03-22,-0.35955198806027
2019-03-23,-0.36596910360031204
2019-03-24,-0.3736588676355376
2019-03-25,-0.3828614856513516
2019-03-26,-0.39358086345411647
2019-03-27,-0.4058215505985293
2019-03-28,-0.41958874231856036
2019-03-29,-0.43488828173243077
2019-03-30,-0.4517266623225691
2019-03-31,-0.47011103069159754
2019-04-01,-0.49007021035027737
2019-04-02,-0.5092383225542791
2019-04-03,-0.5276235026988209
2019-04-04,-0.5452335538844397
2019-04-05,-0.56207595022881
2019-04-06,-0.5781578400389332
2019-04-07,-0.5934860488450482
2019-04-08,-0.6077212232204308
2019-04-09,-0.6208694049060884
2019-04-10,-0.6329361742979036
2019-04-11,-0.6439266528150834
2019-04-12,-0.6538455050738106
2019-04-13,-0.6626969408670145
2019-04-14,-0.6704847169511073
2019-04-15,-0.6761197645665576
2019-04-16,-0.6796044753593938
2019-04-17,-0.6809403283223939
2019-04-18,-0.6801278904228051
2019-04-19,-0.6771668168429772
2019-04-20,-0.6720558508340151
2019-04-21,-0.6647928231823836
2019-04-22,-0.6563926315640487
2019-04-23,-0.6468517107411824
2019-04-24,-0.6361660113237969
2019-04-25,-0.6243309980510897
2019-04-26,-0.6113416478665719
2019-04-27,-0.5971924477861658
2019-04-28,-0.5818773925583657
2019-04-29,-0.5654216057187387
2019-04-30,-0.5478181030464002
2019-05-01,-0.5290594132030183
2019-05-02,-0.5106231249002272
2019-05-03,-0.4925014133459915
2019-05-04,-0.4746865872620075
2019-05-05,-0.45717108561934366
2019-05-06,-0.44057276459780936
2019-05-07,-0.42488457948167957
2019-05-08,-0.41009987183819796
2019-05-09,-0.3962123666915826
2019-05-10,-0.3832161698597797
2019-05-11,-0.3711057654528342
2019-05-12,-0.3598760135318177
2019-05-13,-0.3487962073428148
2019-05-14,-0.3378616443568893
2019-05-15,-0.3270676836897185
2019-05-16,-0.31640974413189255
2019-05-17,-0.3058833022045423
2019-05-18,-0.29548389023946925
2019-05-19,-0.2852070944829626
2019-05-20,-0.27485417369980136
2019-05-21,-0.26442073386821974
2019-05-22,-0.2539023467922843
2019-05-23,-0.2432945482224637
2019-05-24,-0.23259283596089736
2019-05-25,-0.22179266795055677
2019-05-26,-0.2108894603474905
2019-05-27,-0.20013649099224404
2019-05-28,-0.1895291960730793
2019-05-29,-0.17906307360589674
2019-05-30,-0.16873368152348772
2019-05-31,-0.15853663579021748
2019-06-01,-0.14846760854133778
2019-06-02,-0.13932975842055348
2019-06-03,-0.13101987110490212
2019-06-04,-0.12353441968381407
2019-06-05,-0.1168702271565994
2019-06-06,-0.1110244650840545
2019-06-07,-0.10599465238800607
2019-06-08,-0.10177865429828373
2019-06-09,-0.0983746814466736
2019-06-10,-0.0963239483072354
2019-06-11,-0.09562558450085204
2019-06-12,-0.09627929362558732
2019-06-13,-0.09828535313088599
2019-06-14,-0.10164461443532977
2019-06-15,-0.10635850328799926
2019-06-16,-0.11242902037359533
2019-06-17,-0.11868474582552214
2019-06-18,-0.12512833472000157
2019-06-19,-0.13176252186689494
2019-06-20,-0.13859012297042064
2019-06-21,-0.14561403582420476
2019-06-22,-0.15283724154117254
2019-06-23,-0.1602628058188022
2019-06-24,-0.16902386884312204
2019-06-25,-0.1791241490142267
2019-06-26,-0.1905679331272961
2019-06-27,-0.20336007819201188
2019-06-28,-0.21750601349398532
2019-06-29,-0.23301174289907406
2019-06-30,-0.2498838474015622
2019-07-01,-0.2682872938909393
2019-07-02,-0.2852979095198962
2019-07-03,-0.30092291399163384
2019-07-04,-0.31516893892356534
2019-07-05,-0.3280420306619282
2019-07-06,-0.33954765284799593
2019-07-07,-0.34969068873697484
2019-07-08,-0.3581756859562345
2019-07-09,-0.3650062457370839
2019-07-10,-0.37018526712888095
2019-07-11,-0.37371494822945694
2019-07-12,-0.3755967871180408
2019-07-13,-0.3758315824910784
2019-07-14,-0.37441943400121863
2019-07-15,-0.3715917277255852
2019-07-16,-0.3673472635194861
2019-07-17,-0.3616842399330217
2019-07-18,-0.3546002534465071
2019-07-19,-0.346092297450362
2019-07-20,-0.33615676096903546
2019-07-21,-0.3247894271284234
2019-07-22,-0.31139212402491334
2019-07-23,-0.29595916552966595
2019-07-24,-0.2784840015340732
2019-07-25,-0.25895921516973974
2019-07-26,-0.2373765196605903
2019-07-27,-0.2137267548057676
2019-07-28,-0.18799988309182955
2019-07-29,-0.16025189228124204
2019-07-30,-0.13047100547759727
2019-07-31,-0.09864458297587339
2019-08-01,-0.06475911689784664
2019-08-02,-0.03288308572989146
2019-08-03,-0.0030029605387058567
2019-08-04,0.024893940499825518
2019-08-05,0.05093453565545236
2019-08-06,0.0751298771659254
2019-08-07,0.09749023410018176
2019-08-08,0.11802509671677941
2019-08-09,0.13674318049178397
2019-08-10,0.15365242981782035
2019-08-11,0.16876002137586044
2019-08-12,0.1816772525695099
2019-08-13,0.19240960577385996
2019-08-14,0.20096163605067158
2019-08-15,0.20733697308165172
2019-08-16,0.21153832270897416
2019-08-17,0.2135674680837027
2019-08-18,0.21342527042260223
2019-08-19,0.21160894385460216
2019-08-20,0.20811771748821783
2019-08-21,0.20295010956530907
2019-08-22,0.19610392683218808
2019-08-23,0.18757626360875024
2019-08-24,0.1773635005552366
2019-08-25,0.1654613031361002
2019-08-26,0.1516790228790877
2019-08-27,0.1360108102620496
2019-08-28,0.1184500153290256
2019-08-29,0.09898918486784719
2019-08-30,0.0776200592468205
2019-08-31,0.054333568909144814
2019-09-01,0.02911983052358122
2019-09-02,0.0036492389117364354
2019-09-03,-0.02208901624130194
2019-09-04,-0.04810585885311472
2019-09-05,-0.07441233108031695
2019-09-06,-0.10101959800510801
2019-09-07,-0.12793895237399336
2019-09-08,-0.15518181939069037
2019-09-09,-0.18251588843361302
2019-09-10,-0.20995276072108773
2019-09-11,-0.23750408110354262
2019-09-12,-0.26518154300585506
2019-09-13,-0.29299689339031365
2019-09-14,-0.3209619377423051
2019-09-15,-0.3490885450808372
2019-09-16,-0.37704731596117
2019-09-17,-0.4048501167397037
2019-09-18,-0.43250874757547814
2019-09-19,-0.46003494743843726
2019-09-20,-0.48744039909172143
2019-09-21,-0.5147367340501077
2019-09-22,-0.5419355375166938
2019-09-23,-0.5691545886843666
2019-09-24,-0.5964054399551761
2019-09-25,-0.6236996572278796
2019-09-26,-0.6510488248067796
2019-09-27,-0.6784645503183747
2019-09-28,-0.7059584696379064
2019-09-29,-0.7335422518278985
2019-09-30,-0.761701301083366
2019-10-01,-0.7904475687635366
2019-10-02,-0.8170516848194795
2019-10-03,-0.8415249406603973
2019-10-04,-0.8638777233085713
2019-10-05,-0.8841195198078542
2019-10-06,-0.9022589212501961
2019-10-07,-0.9177759246539422
2019-10-08,-0.9306771157983251
2019-10-09,-0.9409679702506639
2019-10-10,-0.9486528556903215
2019-10-11,-0.9537350337624508
2019-10-12,-0.9562166614623124
2019-10-13,-0.956098792050755
2019-10-14,-0.9538775506291326
2019-10-15,-0.9495519944506245
2019-10-16,-0.943120287648001
2019-10-17,-0.9345797004544386
2019-10-18,-0.9239266080449428
2019-10-19,-0.9111564889978871
2019-10-20,-0.896263923376018
2019-10-21,-0.8787791589706203
2019-10-22,-0.8586947748386602
2019-10-23,-0.8360022466976793
2019-10-24,-0.810691943307889
2019-10-25,-0.7827531223844479
2019-10-26,-0.7521739260381852
2019-10-27,-0.7189413757428331
2019-10-28,-0.683283946119054
2019-10-29,-0.6451865033195826
2019-10-30,-0.6046328778984837
2019-10-31,-0.5616058579484593
2019-11-01,-0.5160871817957133
2019-11-02,-0.47328920377939226
2019-11-03,-0.43319375943645483
2019-11-04,-0.3951147907881853
2019-11-05,-0.35903613622951003
2019-11-06,-0.32494248313544805
2019-11-07,-0.29281936136207487
2019-11-08,-0.2626531371050552
2019-11-09,-0.23443100711313736
2019-11-10,-0.20814099325415392
2019-11-11,-0.18423959789461752
2019-11-12,-0.16271667672321344
2019-11-13,-0.14356309490871177
2019-11-14,-0.1267707232229317
2019-11-15,-0.11233243459050635
2019-11-16,-0.10024210106398623
2019-11-17,-0.09049459122299386
2019-11-18,-0.08353308142942162
2019-11-19,-0.0793546170556626
2019-11-20,-0.07795742466369016
2019-11-21,-0.07934091125236853
2019-11-22,-0.08350566400576998
2019-11-23,-0.09045345054238862
2019-11-24,-0.10018721966535993
2019-11-25,-0.11190468633747519
2019-11-26,-0.1256108237256961
2019-11-27,-0.1413114490353572
2019-11-28,-0.15901322597912404
2019-11-29,-0.17872366760522834
2019-11-30,-0.20045113948618148
2019-12-01,-0.22420486326931974
2019-12-02,-0.24608910801934195
2019-12-03,-0.26611316192165707
2019-12-04,-0.2842855236531632
2019-12-05,-0.3006139059892843
2019-12-06,-0.31510523907745275
2019-12-07,-0.3277656733784264
2019-12-08,-0.3386005822766875
2019-12-09,-0.34883981691429533
2019-12-10,-0.3584877230619559
2019-12-11,-0.3675483955167314
2019-12-12,-0.3760256798399674
2019-12-13,-0.3839231739894394
2019-12-14,-0.3912442298464104
